name,location,address,lon,lat,tags
빽다방세종고대점,조치원읍,세종특별자치시 세종특별자치시 조치원읍 내창3길 24,127.289260257392,36.6084225038727,#카페 #세종
카이로스,나성동,세종특별자치시 세종특별자치시 한누리대로 165,127.262022941016,36.4799456346543,#카페 #세종
감성커피,다정동,세종특별자치시 세종특별자치시 다정중앙로 40,127.24938042753,36.494039796892,#카페 #세종
어쿠스틱,금남면,세종특별자치시 세종특별자치시 금남면 용포로 87-4,127.281246906619,36.4668080334532,#카페 #세종
우디와나,도담동,세종특별자치시 세종특별자치시 보듬4로 9,127.260705775683,36.5131200741657,#카페 #세종
컴포즈커피세종아름송남,아름동,세종특별자치시 세종특별자치시 보듬3로 154,127.242651419214,36.5122570111687,#카페 #세종
커피역,연동면,세종특별자치시 세종특별자치시 연동면 연지길 7,127.326986434062,36.5560317165019,#카페 #세종
엑스트라커피,도담동,세종특별자치시 세종특별자치시 보듬4로 9,127.260705775683,36.5131200741657,#카페 #세종
메가엠지씨커피세종,종촌동,세종특별자치시 세종특별자치시 도움1로 106,127.248124929699,36.5028196741882,#카페 #세종
유로비카페,보람동,세종특별자치시 세종특별자치시 시청대로 163,127.289422449002,36.4811259246567,#카페 #세종
빙동댕세종아름점,아름동,세종특별자치시 세종특별자치시 보듬3로 95,127.24891138949,36.5113880172092,#카페 #세종
텐퍼센트커피세종자이더시티점,산울동,세종특별자치시 세종특별자치시 산울3로 45,127.258514311388,36.5322382806612,#카페 #세종
빽다방세종시립도서관점,고운동,세종특별자치시 세종특별자치시 세종로 1219,127.241041921585,36.5116294662991,#카페 #세종
토이베,어진동,세종특별자치시 세종특별자치시 도움8로 81,127.270645302959,36.5046090669854,#카페 #세종
카페;좋아라,한솔동,세종특별자치시 세종특별자치시 노을1로 16,127.26084173607,36.4804348480337,#카페 #세종
커피앤드토스트,새롬동,세종특별자치시 세종특별자치시 새롬로 56,127.255391373659,36.4891788577343,#카페 #세종
컴포즈커피세종부강점,부강면,세종특별자치시 세종특별자치시 부강면 부강외천로 76,127.375576955269,36.5263940430888,#카페 #세종
세컨드세컨드,전동면,세종특별자치시 세종특별자치시 전동면 깊은내길 82,127.267071362504,36.6467906037937,#카페 #세종
카페아이와,나성동,세종특별자치시 세종특별자치시 나성로 96,127.26100060885,36.487878065118,#카페 #세종
